"","Variable","Feature","N1","N2","Mean1","Mean2","Beta","SE","P","FDR","FC","FC_lower","FC_upper"
"K02990","Group","K02990",20,20,0.87257006682,1.19552248875,-0.0689859056519179,0.0212234069012019,0.00241605250800161,0.992143520681656,0.953307858543403,0.926213196044973,0.981195125529697
"K02879","Group","K02879",20,20,0.52720590339,0.801621430635,-0.0670777511557075,0.0214292140113076,0.00335150968938475,0.992143520681656,0.954569568141084,0.927179767129902,0.982768490776818
"K05341","Group","K05341",20,20,0.3328231565965,0.1779135149695,0.0724044887974869,0.0237016047809971,0.0041027549977941,0.992143520681656,1.05146766803846,1.01814944940421,1.08587620174738
"K01933","Group","K01933",20,20,0.82861464448,1.10206696202,-0.056668024963736,0.0185849905044533,0.00416567942341254,0.992143520681656,0.961482147246993,0.937509616192151,0.986067666409103
"K03545","Group","K03545",20,20,0.426021047525,0.686969027745,-0.0694071205799879,0.0229364190245731,0.00442938075137943,0.992143520681656,0.953029567652609,0.923790425097212,0.983194166279153
"K01876","Group","K01876",20,20,0.61905259438,0.844135121365,-0.0548288866965564,0.0181905721427674,0.00457186959076337,0.992143520681656,0.962708620026721,0.939208644291966,0.986796589561246
"K01695","Group","K01695",20,20,0.622685286135,0.937013784115,-0.0730237137704,0.0243028785052813,0.00468721245226759,0.992143520681656,0.950643475248069,0.919768467956993,0.982554902147376
"K02952","Group","K02952",20,20,1.284548844805,1.6237797001,-0.0568032342694464,0.0189682365193472,0.0048139689197074,0.992143520681656,0.961392041411575,0.936933800405056,0.986488753943909
"K02121","Group","K02121",20,19,0.1572932598335,0.0915402192405,0.0382447360561111,0.012859450206911,0.00508288370832752,0.992143520681656,1.0268637261647,1.00907976052024,1.04496111543176
"K00765","Group","K00765",20,20,0.7481623386,0.978942286935,-0.0486665284439609,0.0164201080637704,0.00522151542679625,0.992143520681656,0.966829548928405,0.945500456441771,0.988639794208994
