"","Feature","P","FDR","FC","NPC association"
"Fijivirus","Fijivirus",5.58301374473303e-05,0.000524329809342466,0.914472454132359,"enriched"
"Dongdastvirus","Dongdastvirus",5.58670456980708e-05,0.000524329809342466,0.914478656156676,"enriched"
"Phobosvirus","Phobosvirus",5.58817249667235e-05,0.000524329809342466,0.915848011824472,"enriched"
"Molluscipoxvirus","Molluscipoxvirus",5.58955841274899e-05,0.000524329809342466,0.91528644799742,"enriched"
"Velarivirus","Velarivirus",5.59898195230996e-05,0.000524329809342466,0.914937778263189,"enriched"
"Aobingvirus","Aobingvirus",5.59980453705111e-05,0.000524329809342466,0.913995089143725,"enriched"
"Retbasiphovirus","Retbasiphovirus",5.60300654282505e-05,0.000524329809342466,0.914156280121857,"enriched"
"Baxterfoxvirus","Baxterfoxvirus",5.61312774232871e-05,0.000524329809342466,0.914156280121857,"enriched"
"Roskildevirus","Roskildevirus",5.61453551969669e-05,0.000524329809342466,0.91336091140077,"enriched"
"Yaravirus","Yaravirus",5.61938400332998e-05,0.000524329809342466,0.914156280121857,"enriched"
"Dendoorenvirus","Dendoorenvirus",5.63150907009065e-05,0.000524329809342466,0.91479188519558,"enriched"
"Tangaroavirus","Tangaroavirus",5.63515900419065e-05,0.000524329809342466,0.913496254164451,"enriched"
"Pakpunavirus","Pakpunavirus",5.63560760660034e-05,0.000524329809342466,0.913995089143725,"enriched"
"Likavirus","Likavirus",5.63664751987937e-05,0.000524329809342466,0.914314353460309,"enriched"
"Llyrvirus","Llyrvirus",5.64062313675401e-05,0.000524329809342466,0.916323282978323,"enriched"
"Rollinsvirus","Rollinsvirus",5.64202489280926e-05,0.000524329809342466,0.913995089143725,"enriched"
"Klausavirus","Klausavirus",5.64656333021165e-05,0.000524329809342466,0.91399977591715,"enriched"
"Samistivirus","Samistivirus",5.64951788146669e-05,0.000524329809342466,0.914938276159024,"enriched"
"Salchichonvirus","Salchichonvirus",5.65142719221604e-05,0.000524329809342466,0.913522657671903,"enriched"
"Gammapapillomavirus","Gammapapillomavirus",5.65298685183881e-05,0.000524329809342466,0.914314353460309,"enriched"
"Cervidpoxvirus","Cervidpoxvirus",5.6562723089351e-05,0.000524329809342466,0.913995089143725,"enriched"
"Kahucivirus","Kahucivirus",5.66702846939593e-05,0.000524329809342466,0.91474950833398,"enriched"
"Fervidicoccus","Fervidicoccus",5.67195118841599e-05,0.000524329809342466,0.917434045270753,"enriched"
"Planococcus","Planococcus",5.67537313626468e-05,0.000524329809342466,1.12298457686104,"depleted"
"Cryptomonas","Cryptomonas",5.68229076174848e-05,0.000524329809342466,0.913682193388037,"enriched"
"Tilapinevirus","Tilapinevirus",5.69601249230143e-05,0.000524329809342466,0.91302464832218,"enriched"
"Xanthomonas","Xanthomonas",5.70019046218589e-05,0.000524329809342466,1.20830831337316,"depleted"
"Cetarhavirus","Cetarhavirus",5.70977201160549e-05,0.000524329809342466,0.914315926492511,"enriched"
"Lumosvirus","Lumosvirus",5.71507708598401e-05,0.000524329809342466,0.917616825370077,"enriched"
"Orthoreovirus","Orthoreovirus",5.73042202657427e-05,0.000524329809342466,0.914948525033179,"enriched"
"Antsirabevirus","Antsirabevirus",5.73262276835702e-05,0.000524329809342466,0.914633729297956,"enriched"
"Seunavirus","Seunavirus",5.74601577561413e-05,0.000524329809342466,0.912039040794837,"enriched"
"Takahashivirus","Takahashivirus",5.7511981378685e-05,0.000524329809342466,0.916733177240967,"enriched"
"Caeruleovirus","Caeruleovirus",5.75921109091378e-05,0.000524329809342466,0.914154707364319,"enriched"
"Xooduovirus","Xooduovirus",5.76751723086287e-05,0.000524329809342466,0.913996661626649,"enriched"
"Anatolevirus","Anatolevirus",5.77902314619287e-05,0.000524329809342466,0.914177377180622,"enriched"
"Mosugukvirus","Mosugukvirus",5.78379968514076e-05,0.000524329809342466,0.914315926492511,"enriched"
"Galenevirus","Galenevirus",5.78888204206401e-05,0.000524329809342466,0.913521116671871,"enriched"
"Shenzhenvirus","Shenzhenvirus",5.79230290629951e-05,0.000524329809342466,0.915414091409991,"enriched"
"Mosigvirus","Mosigvirus",5.79384316102519e-05,0.000524329809342466,0.913707904324621,"enriched"
"Zhoulongquanvirus","Zhoulongquanvirus",5.79975393464052e-05,0.000524329809342466,0.914793459049351,"enriched"
"Agatevirus","Agatevirus",5.82279408781577e-05,0.000524329809342466,0.913682193388037,"enriched"
"Unicornvirus","Unicornvirus",5.82725014428343e-05,0.000524329809342466,0.914635302879628,"enriched"
"Respirovirus","Respirovirus",5.82854529505453e-05,0.000524329809342466,0.913837071002019,"enriched"
"Nanobdella","Nanobdella",5.84552948500811e-05,0.000524329809342466,0.903566884561408,"enriched"
"Acidiplasma","Acidiplasma",5.84704277709453e-05,0.000524329809342466,0.913449126115036,"enriched"
"Pseudotevenvirus","Pseudotevenvirus",5.85107681963471e-05,0.000524329809342466,0.914156280121857,"enriched"
"Aphroditevirus","Aphroditevirus",5.85749250913553e-05,0.000524329809342466,0.915266547720598,"enriched"
"Jhansiroadvirus","Jhansiroadvirus",5.87754578101266e-05,0.000524329809342466,0.914004402236779,"enriched"
"Faustvirus","Faustvirus",5.88902674409446e-05,0.000524329809342466,0.914939352367962,"enriched"
"Elemovirus","Elemovirus",5.89641373186235e-05,0.000524329809342466,0.91462918927072,"enriched"
"Cantarevirus","Cantarevirus",5.90110343031767e-05,0.000524329809342466,0.914156280121857,"enriched"
"Craquatrovirus","Craquatrovirus",5.90235367434152e-05,0.000524329809342466,0.91479188519558,"enriched"
"Fibrisoma","Fibrisoma",5.90363625630656e-05,0.000524329809342466,0.914474027436565,"enriched"
"Matervirus","Matervirus",5.90841999897249e-05,0.000524329809342466,0.914314353460309,"enriched"
"Zetavirus","Zetavirus",5.91519471272366e-05,0.000524329809342466,0.914314353460309,"enriched"
"Ponsvirus","Ponsvirus",5.92245553672662e-05,0.000524329809342466,0.914159394956232,"enriched"
"Tegunavirus","Tegunavirus",5.92601082735851e-05,0.000524329809342466,0.914156280121857,"enriched"
"Jolieduovirus","Jolieduovirus",5.92795619010125e-05,0.000524329809342466,0.917232999458747,"enriched"
"Phrappuccinovirus","Phrappuccinovirus",5.93592035513988e-05,0.000524329809342466,0.915100559800843,"enriched"
"Pteropopoxvirus","Pteropopoxvirus",5.94048886692881e-05,0.000524329809342466,0.915111427838109,"enriched"
"Picardvirus","Picardvirus",5.94158677395867e-05,0.000524329809342466,0.914633729297956,"enriched"
"Nymphadoravirus","Nymphadoravirus",5.942431363973e-05,0.000524329809342466,0.915103677852692,"enriched"
"Felixounavirus","Felixounavirus",5.94573641466122e-05,0.000524329809342466,0.914630612847373,"enriched"
"Palaeococcus","Palaeococcus",5.9566687417784e-05,0.000524329809342466,0.906230772339012,"enriched"
"Skulduggeryvirus","Skulduggeryvirus",5.96073625285572e-05,0.000524329809342466,0.914314353460309,"enriched"
"Brizovirus","Brizovirus",5.96959892642411e-05,0.000524329809342466,0.912317031526498,"enriched"
"Ceceduovirus","Ceceduovirus",5.97172867885976e-05,0.000524329809342466,0.914355167755864,"enriched"
"Phabiovirus","Phabiovirus",5.97456742913089e-05,0.000524329809342466,0.914633729297956,"enriched"
"Magiavirus","Magiavirus",5.99525782372853e-05,0.000524329809342466,0.914159394956232,"enriched"
"Leucotheavirus","Leucotheavirus",6.00603545676284e-05,0.000524329809342466,0.914314353460309,"enriched"
"Hadakavirus","Hadakavirus",6.01390914475582e-05,0.000524329809342466,0.913682193388037,"enriched"
"Maaswegvirus","Maaswegvirus",6.02317453988579e-05,0.000524329809342466,0.914663664295541,"enriched"
"Kochikohdavirus","Kochikohdavirus",6.03787976066842e-05,0.000524329809342466,0.914472454132359,"enriched"
"Palaemonvirus","Palaemonvirus",6.04273745974313e-05,0.000524329809342466,0.914314353460309,"enriched"
"Litunavirus","Litunavirus",6.04335321639246e-05,0.000524329809342466,0.914793459049351,"enriched"
"Alphaendornavirus","Alphaendornavirus",6.06533635218668e-05,0.000524329809342466,0.914154707364319,"enriched"
"Bosavirus","Bosavirus",6.06679947649329e-05,0.000524329809342466,0.914314353460309,"enriched"
"Ledantevirus","Ledantevirus",6.08003286473677e-05,0.000524329809342466,0.914793459049351,"enriched"
"Trichococcus","Trichococcus",6.08464603558826e-05,0.000524329809342466,1.14072987569385,"depleted"
