"","Feature","P","FDR","FC","NPC association"
"COG1305","COG1305",0.0161853963602136,0.999996497980396,0.943468156414721,"enriched"
"ENOG4108IGT","ENOG4108IGT",0.0162214192735615,0.999996497980396,1.03959666440764,"depleted"
"COG4299","COG4299",0.0164070018298102,0.999996497980396,0.969553028734035,"enriched"
"COG2379","COG2379",0.0165247165786503,0.999996497980396,1.04011488701954,"depleted"
"ENOG4105D1Z","ENOG4105D1Z",0.0165247165786503,0.999996497980396,1.04011488701954,"depleted"
"ENOG41080E6","ENOG41080E6",0.0166387497112376,0.999996497980396,1.0161796846667,"depleted"
"COG0775","COG0775",0.0166964930215891,0.999996497980396,1.05002206918119,"depleted"
"ENOG4105KGE","ENOG4105KGE",0.0167247300648256,0.999996497980396,1.03748486206545,"depleted"
"COG0344","COG0344",0.0168367110855631,0.999996497980396,1.02569328828084,"depleted"
"ENOG4105CNB","ENOG4105CNB",0.0170980880795476,0.999996497980396,1.02175026295156,"depleted"
"ENOG4107XPA","ENOG4107XPA",0.0171760558631139,0.999996497980396,1.04268148012915,"depleted"
"ENOG4105FK3","ENOG4105FK3",0.0172148332990157,0.999996497980396,1.01848640477715,"depleted"
"ENOG4111Q35","ENOG4111Q35",0.0172148332990157,0.999996497980396,1.01848640477715,"depleted"
"ENOG4105XZ4","ENOG4105XZ4",0.0173438587361739,0.999996497980396,1.01647152088841,"depleted"
"ENOG4105D8I","ENOG4105D8I",0.0175568334814331,0.999996497980396,1.03417247931165,"depleted"
"ENOG4108TRM","ENOG4108TRM",0.0176830916722793,0.999996497980396,1.02459187798947,"depleted"
"ENOG410XT00","ENOG410XT00",0.0176830916722793,0.999996497980396,1.02459187798947,"depleted"
"ENOG410828M","ENOG410828M",0.0177907058254235,0.999996497980396,1.00893285829184,"depleted"
"ENOG41070GW","ENOG41070GW",0.0178802593361169,0.999996497980396,1.06203911355892,"depleted"
"ENOG410YX8H","ENOG410YX8H",0.0178802593361169,0.999996497980396,1.06203911355892,"depleted"
"ENOG4105MAM","ENOG4105MAM",0.0179682438766468,0.999996497980396,1.01424054146386,"depleted"
"ENOG4111KBS","ENOG4111KBS",0.0179682438766468,0.999996497980396,1.01424054146386,"depleted"
"ENOG4108KP3","ENOG4108KP3",0.0180901807165626,0.999996497980396,1.0404388869077,"depleted"
"ENOG410Z4SK","ENOG410Z4SK",0.0180901807165626,0.999996497980396,1.0404388869077,"depleted"
"ENOG4105RZM","ENOG4105RZM",0.0181142004360262,0.999996497980396,1.05631437189743,"depleted"
