Biomarker_Names	Average_Abundance(log10)	Enriched_Groups	LDA	KW_Pvalue
Solibacillus	1.5923305550024551	HC	0.776610723972066	0.19414845126597652
Solibaculum	2.228425080918636	HC	1.2772314852107725	0.5162077306368994
Solicola	0.23340123139117883	HC	0.13423477000273876	0.030463802722688726
Solidesulfovibrio	1.1477506116298721	HC	0.5364580338826143	0.1516708199852679
Solimonas	0.7889647993246259	ID	0.22485149124269194	0.5162077306368994
Solitalea	0.7247194273788389	ID	0.191571799096317	0.33015426123436775
Solobacterium	2.2816883704824447	ID	1.7592147520898203	0.007407232568616432
Solwaraspora	1.2353240419972926	HC	0.6078435768471975	0.03726427324163418
Somasatellite	0.0			-
Sonalivirus	0.0	HC	0.0016919008670183157	0.3173105078628991
Sophoyesatellite	0.0			-
Sophritavirus	0.0	HC	0.05538422660772889	0.00850930332100822
Sopolycivirus	0.0	HC	0.0027100245896362713	0.03770370611423464
Sorangium	1.2689996235310101	HC	0.759695750533264	0.010999699372391614
Sordaria	0.4022504922897066	HC	0.10782870130767899	0.4327745949916696
Sorghum	1.4074248026726273	HC	0.4648505711995025	0.5517753193316735
Sortsnevirus	0.0	HC	0.002462247759590622	0.07562632558501513
Soupsvirus	0.0	ID	0.002048631531517015	0.15207808079297255
Sourvirus	0.0	HC	0.013047364361464638	0.0007984098582692616
Soymovirus	0.0	ID	0.001540869747276612	0.15207808079297255
Sozzivirus	0.0	ID	0.0020291549980842485	0.514764265007895
Sparkyvirus	0.0	HC	0.0029964131481851272	0.15207808079297255
Spartinivicinus	0.0	ID	0.07328988563023378	0.46496534071496654
Spbetavirus	0.0			-
Sperdavirus	0.0			-
Sphaerisporangium	0.0	HC	0.029048484928206497	0.03922614796555036
Sphaerobacter	0.4458416129440843	HC	0.14996067940797975	0.12310881495843536
Sphaerochaeta	1.7726750477399498	HC	0.745373244657599	0.0699312121612827
Sphaerospermopsis	0.33025441985738424	HC	0.140154001593695	0.04248307982571592
Sphaerotilus	1.06671507644749	HC	0.5199946224502225	0.03486637192888855
Sphingobacterium	1.8549550171500109	ID	0.9209419906518681	0.6456228047372248
Sphingobium	1.9716849484253713	HC	1.2379670329481365	0.03486637192888855
Sphingomicrobium	0.8353523298433874	HC	0.5043956059790673	0.0049049719653997195
Sphingomonas	2.246236197229799	HC	1.5550428016081927	0.021490317747919572
Sphingopyxis	1.531614218257948	HC	0.9640247024539963	0.006293987011787071
Sphingorhabdus	1.0217778432552291	HC	0.3454535219146889	0.20360267380135766
Sphingosinicella	1.0656698155324995	HC	0.5234598287347927	0.09893159920140912
Sphingosinithalassobacter	0.7795561389456804	ID	0.26743076648150005	0.31689773947703104
Sphonivirus	0.0			-
Spinacia	2.043234969246064	HC	0.9754945534033032	0.8286754110725026
Spiractinospora	0.2151173990597649	HC	0.1247469162918702	0.054787666178226474
Spiribacter	0.9676543422830839	HC	0.429052077179293	0.04531629734465174
Spirillospora	0.45740769910097073	HC	0.15331596028905242	0.1516708199852679
Spirobacillus	0.07071146091600898	ID	0.056320669096712676	0.7049097275727675
Spirochaeta	0.8868014272110647	HC	0.22562740284818641	0.15954465937786846
Spiromicrovirus	0.0	HC	0.002571846359050057	0.3173105078628991
Spironucleus	0.1673336471546038	HC	0.09908337180024071	0.33015426123436775
Spiroplasma	1.5668902459814664	HC	0.8901054132800458	0.33015426123436775
Spirosoma	1.55846395437136	HC	0.6446677892523288	0.5699997477501239
Spizizenvirus	0.0			-
Spongiactinospora	0.0	ID	0.0029401661936502704	0.7476847445742731
Spongiibacter	0.40307350978600764	HC	0.16218625144235693	0.2133876641829925
Sporisorium	0.09720720911016102	HC	0.07513151913569634	0.33015426123436775
Sporofaciens	0.9511882901905049	ID	0.5431865574025172	0.4017203290879302
Sporolactobacillus	1.0946105542058047	HC	0.36064853608438513	0.08341508335601197
Sporomusa	1.731532936830376	HC	0.7343053300893255	0.37204306015823724
Sporosarcina	1.7696546440239445	HC	0.889643879529975	0.054787666178226474
Sprivivirus	0.0			-
Spumavirus	0.0	ID	0.002097756585364482	0.3173105078628991
Sputnikvirus	0.0	ID	0.002018144038898917	0.3173105078628991
Squashvirus	0.0	HC	0.004609506370541856	0.7131859969320566
Squirtyvirus	0.0	HC	0.0021988142540112017	0.3173105078628991
Sripuvirus	0.0			-
Stackebrandtia	0.3408662058461507	HC	0.12136961446874024	0.16772384227816634
Stakelama	0.45039801187782824	ID	0.12129821271286446	0.08341508335601197
Staminivirus	0.0			-
Stanholtvirus	0.0			-
Stanieria	0.07434293658389549			-
Staphylococcus	2.319942588636666	HC	1.2776138857104997	0.3577279701934175
Staphylospora	0.4947133482687273	HC	0.10598481038126148	0.30399527781793867
Staphylothermus	0.0	ID	0.028338524980208158	0.9353103386802484
Stappia	1.3434608678415794	HC	0.8147750381853368	0.008027553206315471
Starkeya	0.19132839588057154	HC	0.11267655691442469	0.1166528887254191
Stehlmavirus	0.0			-
Stehnavirus	0.0			-
Steinhofvirus	0.0			-
Stella	0.3730470714877853	HC	0.17141459609043616	0.07870399677767277
Stenotrophomonas	1.9066749720358045	HC	1.0251556013033063	0.19414845126597652
Steroidobacter	0.687079384160555	ID	0.21549860078465768	0.27925094536873757
Sterolibacterium	0.7919461851448489	HC	0.3048983417211845	0.0699312121612827
Stieleria	0.5789576687779232	HC	0.16082281425104386	0.3867079925517324
Stigmatella	0.8405574491671678	HC	0.4354481294880854	0.010176944502960184
Stockinghallvirus	0.0			-
Stomatobaculum	2.0346220709797014	HC	1.2431330498744761	0.0022381794709623553
Stompelvirus	0.0			-
Stompvirus	0.0			-
Stonewallvirus	0.0			-
Stoningtonvirus	0.0	HC	0.0020499839549740022	0.3173105078628991
Stopalavirus	0.0			-
Stopavirus	0.0	ID	0.0019497965634560708	0.3173105078628991
Stormageddonvirus	0.0	HC	0.0021809322768021606	0.3605670200516884
Stralarivirus	0.0	HC	0.0015861905937050898	0.3173105078628991
Stratiformator	0.0	HC	0.08961420967167226	0.024758030413600553
Streptacidiphilus	0.8128079795366371	HC	0.24788504061359853	0.054787666178226474
Streptantibioticus	0.30739628046248585	HC	0.1717445180838268	0.33015426123436775
Streptobacillus	0.42379642934904305	HC	0.20857030939675983	0.024758030413600553
Streptococcus	4.084780744105049	ID	3.5216373035072017	0.09893159920140912
Streptomonospora	0.5977835164745472	HC	0.2501959846665754	0.1516708199852679
Streptomyces	3.1856098792647805	HC	2.480323505812497	0.0172934864312608
Streptosporangium	1.2931864376371527	HC	0.6944774520419658	0.0172934864312608
Striavirus	0.0			-
Striwavirus	0.0			-
Stubburvirus	0.0			-
Stupavirus	0.0			-
Stupnyavirus	0.0			-
Stutzerimonas	1.7541356746187715	HC	1.0525356925909986	0.010176944502960184
Stygiolobus	0.0	ID	0.022986877831829348	0.9353224500924857
Stylovirus	0.0			-
Subclovsatellite	0.0			-
Subdoligranulum	4.058439866606184	HC	3.276529791250228	0.026547517115491727
Subteminivirus	0.0			-
Subtercola	0.5702215802378963	HC	0.28309602123128486	0.03726427324163418
Succinivibrio	1.1992371726487314	HC	0.3847527034411994	0.31689773947703104
Sugarlandvirus	0.0			-
Sugiyamaella	0.0	HC	0.02296479566891896	0.498880519074121
Suhnsivirus	0.0			-
Suicoccus	0.41097274306898673	ID	0.11084660324793866	0.7454830184564035
Suipoxvirus	0.0	HC	0.00523861602073641	0.2362443482644178
Sukhumvitvirus	0.0	HC	0.001884745378980588	0.9714372531924288
Sukkupivirus	0.0	HC	0.0017503805864075407	0.3173105078628991
Sukuvirus	0.0	ID	0.0032295240877708545	0.9714372531924288
Sulfidibacter	0.48566886346376	HC	0.22205947501068662	0.0658554842382962
Sulfitobacter	1.6951421314829827	HC	0.9702823012007354	0.06197757443380569
Sulfobacillus	0.0	HC	0.002713976643160755	0.9714372531924288
Sulfodiicoccus	0.0	ID	0.029662851793130086	0.16764409274743775
Sulfolobus	0.4326121303686063	HC	0.18432616782813263	0.03980114550533259
Sulfuracidifex	0.0	ID	0.00798454364173352	0.2773498358803864
Sulfuricaulis	0.46245231560895567	HC	0.24799794310227294	0.0011703444685277264
Sulfuricella	0.4011233674767044	HC	0.2046818368246284	0.0742117161767884
Sulfuricurvum	0.4702269312231603	HC	0.19586587586742427	0.1516708199852679
Sulfuricystis	0.5761415974405649	HC	0.2966997858284835	0.0022381794709623553
Sulfuriferula	0.9932137509489598	HC	0.47147000990845317	0.010176944502960184
Sulfuriflexus	0.1424205277402694	HC	0.10216972628729422	0.03486637192888855
